TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef,SourceTableID
6,A,2001,2001,321,Compensation of employees,21.6,6,6
6,A,2001,2001,322,Gross operating surplus,19.3,6,6
6,A,2001,2001,322,Taxes on production and imports less subsidies,1.6,6,6
6,A,2001,2001,322,Compensation of employees,32.6,6,6
6,A,2001,2001,322,Paper products,53.5,6,6
6,A,2001,2001,323,Taxes on production and imports less subsidies,0.7,6,6
6,A,2001,2001,323,Printing and related support activities,42.7,6,6
6,A,2001,2001,323,Compensation of employees,34.3,6,6
6,A,2001,2001,323,Gross operating surplus,7.7,6,6
6,A,2001,2001,324,Compensation of employees,12.1,6,6
6,A,2001,2001,324,Gross operating surplus,54.6,6,6
6,A,2001,2001,324,Petroleum and coal products,68.3,6,6
6,A,2001,2001,324,Taxes on production and imports less subsidies,1.6,6,6
6,A,2001,2001,325,Gross operating surplus,112.7,6,6
6,A,2001,2001,325,Taxes on production and imports less subsidies,6.3,6,6
6,A,2001,2001,325,Compensation of employees,74.8,6,6
6,A,2001,2001,325,Chemical products,193.8,6,6
6,A,2001,2001,326,Gross operating surplus,23.4,6,6
6,A,2001,2001,326,Plastics and rubber products,63.5,6,6
6,A,2001,2001,326,Taxes on production and imports less subsidies,1.3,6,6
6,A,2001,2001,326,Compensation of employees,38.9,6,6
6,A,2001,2001,327,Gross operating surplus,14.2,6,6
6,A,2001,2001,327,Compensation of employees,26.2,6,6
6,A,2001,2001,327,Taxes on production and imports less subsidies,0.9,6,6
6,A,2001,2001,327,Nonmetallic mineral products,41.3,6,6
6,A,2001,2001,331,Gross operating surplus,6.8,6,6
6,A,2001,2001,331,Primary metals,40.3,6,6
6,A,2001,2001,331,Compensation of employees,31.7,6,6
6,A,2001,2001,331,Taxes on production and imports less subsidies,1.8,6,6
6,A,2001,2001,332,Compensation of employees,77.1,6,6
6,A,2001,2001,332,Taxes on production and imports less subsidies,2.0,6,6
6,A,2001,2001,332,Gross operating surplus,31.8,6,6
6,A,2001,2001,332,Fabricated metal products,110.9,6,6
6,A,2001,2001,333,Machinery,105.3,6,6
6,A,2001,2001,333,Taxes on production and imports less subsidies,2.5,6,6
6,A,2001,2001,333,Gross operating surplus,28.0,6,6
6,A,2001,2001,333,Compensation of employees,74.9,6,6
6,A,2001,2001,334,Gross operating surplus,31.8,6,6
6,A,2001,2001,334,Compensation of employees,136.2,6,6
6,A,2001,2001,334,Taxes on production and imports less subsidies,5.4,6,6
6,A,2001,2001,334,Computer and electronic products,173.5,6,6
6,A,2001,2001,335,"Electrical equipment, appliances, and components",44.3,6,6
6,A,2001,2001,335,Compensation of employees,30.0,6,6
6,A,2001,2001,335,Taxes on production and imports less subsidies,1.0,6,6
6,A,2001,2001,335,Gross operating surplus,13.2,6,6
6,A,2001,2001,3361MV,Gross operating surplus,49.3,6,6
6,A,2001,2001,3361MV,"Motor vehicles, bodies and trailers, and parts",124.9,6,6
6,A,2001,2001,3361MV,Taxes on production and imports less subsidies,2.3,6,6
6,A,2001,2001,3361MV,Compensation of employees,73.4,6,6
6,A,2001,2001,3364OT,Gross operating surplus,23.9,6,6
6,A,2001,2001,3364OT,Compensation of employees,51.4,6,6
6,A,2001,2001,3364OT,Taxes on production and imports less subsidies,1.5,6,6
6,A,2001,2001,3364OT,Other transportation equipment,76.9,6,6
6,A,2001,2001,337,Furniture and related products,31.2,6,6
6,A,2001,2001,337,Taxes on production and imports less subsidies,0.3,6,6
6,A,2001,2001,337,Gross operating surplus,8.0,6,6
6,A,2001,2001,337,Compensation of employees,22.9,6,6
6,A,2001,2001,339,Gross operating surplus,19.0,6,6
6,A,2001,2001,339,Miscellaneous manufacturing,57.5,6,6
6,A,2001,2001,339,Taxes on production and imports less subsidies,1.1,6,6
6,A,2001,2001,339,Compensation of employees,37.4,6,6
6,A,2001,2001,33DG,Durable goods,833.3,6,6
6,A,2001,2001,33DG,Gross operating surplus,231.1,6,6
6,A,2001,2001,33DG,Taxes on production and imports less subsidies,19.4,6,6
6,A,2001,2001,33DG,Compensation of employees,582.8,6,6
6,A,2001,2001,42,Wholesale trade,612.7,6,6
6,A,2001,2001,42,Compensation of employees,330.2,6,6
6,A,2001,2001,42,Gross operating surplus,148.9,6,6
6,A,2001,2001,42,Taxes on production and imports less subsidies,133.6,6,6
6,A,2001,2001,441,Taxes on production and imports less subsidies,21.7,6,6
6,A,2001,2001,441,Compensation of employees,81.6,6,6
6,A,2001,2001,441,Motor vehicle and parts dealers,132.6,6,6
6,A,2001,2001,441,Gross operating surplus,29.3,6,6
6,A,2001,2001,445,Food and beverage stores,109.1,6,6
6,A,2001,2001,445,Gross operating surplus,26.9,6,6
6,A,2001,2001,445,Taxes on production and imports less subsidies,14.1,6,6
6,A,2001,2001,445,Compensation of employees,68.2,6,6
6,A,2001,2001,44RT,Gross operating surplus,159.0,6,6
6,A,2001,2001,44RT,Taxes on production and imports less subsidies,133.7,6,6
6,A,2001,2001,44RT,Retail trade,709.4,6,6
6,A,2001,2001,44RT,Compensation of employees,416.7,6,6
6,A,2001,2001,452,Compensation of employees,57.8,6,6
6,A,2001,2001,452,General merchandise stores,99.6,6,6
6,A,2001,2001,452,Taxes on production and imports less subsidies,28.9,6,6
6,A,2001,2001,452,Gross operating surplus,12.9,6,6
6,A,2001,2001,481,Taxes on production and imports less subsidies,6.9,6,6
6,A,2001,2001,481,Gross operating surplus,0.5,6,6
6,A,2001,2001,481,Air transportation,49.2,6,6
6,A,2001,2001,481,Compensation of employees,41.8,6,6
6,A,2001,2001,482,Compensation of employees,16.4,6,6
6,A,2001,2001,482,Taxes on production and imports less subsidies,-0.1,6,6
6,A,2001,2001,482,Gross operating surplus,7.0,6,6
6,A,2001,2001,482,Rail transportation,23.3,6,6
6,A,2001,2001,483,Water transportation,8.3,6,6
6,A,2001,2001,483,Compensation of employees,3.6,6,6
6,A,2001,2001,483,Taxes on production and imports less subsidies,0.4,6,6
6,A,2001,2001,483,Gross operating surplus,4.3,6,6
6,A,2001,2001,484,Truck transportation,97.2,6,6
6,A,2001,2001,484,Gross operating surplus,33.8,6,6
6,A,2001,2001,484,Compensation of employees,61.2,6,6
6,A,2001,2001,484,Taxes on production and imports less subsidies,2.2,6,6
6,A,2001,2001,485,Taxes on production and imports less subsidies,0.9,6,6
6,A,2001,2001,485,Transit and ground passenger transportation,19.0,6,6
6,A,2001,2001,485,Compensation of employees,10.8,6,6
6,A,2001,2001,485,Gross operating surplus,7.4,6,6
6,A,2001,2001,486,Gross operating surplus,10.2,6,6
6,A,2001,2001,486,Taxes on production and imports less subsidies,1.0,6,6
6,A,2001,2001,486,Pipeline transportation,16.1,6,6
6,A,2001,2001,486,Compensation of employees,4.9,6,6
6,A,2001,2001,487OS,Compensation of employees,49.2,6,6
6,A,2001,2001,487OS,Taxes on production and imports less subsidies,1.8,6,6
6,A,2001,2001,487OS,Other transportation and support activities,69.1,6,6
6,A,2001,2001,487OS,Gross operating surplus,18.1,6,6
6,A,2001,2001,48TW,Gross operating surplus,86.5,6,6
6,A,2001,2001,48TW,Transportation and warehousing,308.0,6,6
6,A,2001,2001,48TW,Compensation of employees,208.0,6,6
6,A,2001,2001,48TW,Taxes on production and imports less subsidies,13.6,6,6
6,A,2001,2001,493,Taxes on production and imports less subsidies,0.4,6,6
6,A,2001,2001,493,Warehousing and storage,25.8,6,6
6,A,2001,2001,493,Gross operating surplus,5.2,6,6
6,A,2001,2001,493,Compensation of employees,20.2,6,6
6,A,2001,2001,4A0,Other retail,368.1,6,6
6,A,2001,2001,4A0,Taxes on production and imports less subsidies,69.0,6,6
6,A,2001,2001,4A0,Compensation of employees,209.1,6,6
6,A,2001,2001,4A0,Gross operating surplus,90.0,6,6
6,A,2001,2001,51,Information,502.3,6,6
6,A,2001,2001,51,Taxes on production and imports less subsidies,43.3,6,6
6,A,2001,2001,51,Gross operating surplus,211.7,6,6
6,A,2001,2001,51,Compensation of employees,247.2,6,6
6,A,2001,2001,511,Taxes on production and imports less subsidies,2.6,6,6
6,A,2001,2001,511,Compensation of employees,71.9,6,6
6,A,2001,2001,511,"Publishing industries, except internet (includes software)",111.4,6,6
6,A,2001,2001,511,Gross operating surplus,36.8,6,6
6,A,2001,2001,512,Motion picture and sound recording industries,65.3,6,6
6,A,2001,2001,512,Taxes on production and imports less subsidies,4.2,6,6
6,A,2001,2001,512,Compensation of employees,22.4,6,6
6,A,2001,2001,512,Gross operating surplus,38.6,6,6
6,A,2001,2001,513,Broadcasting and telecommunications,281.4,6,6
6,A,2001,2001,513,Gross operating surplus,138.1,6,6
6,A,2001,2001,513,Compensation of employees,108.3,6,6
6,A,2001,2001,513,Taxes on production and imports less subsidies,35.0,6,6
6,A,2001,2001,514,Gross operating surplus,-1.8,6,6
6,A,2001,2001,514,Taxes on production and imports less subsidies,1.5,6,6
6,A,2001,2001,514,"Data processing, internet publishing, and other information services",44.3,6,6
6,A,2001,2001,514,Compensation of employees,44.6,6,6
6,A,2001,2001,52,Compensation of employees,445.3,6,6
6,A,2001,2001,52,Taxes on production and imports less subsidies,28.5,6,6
6,A,2001,2001,52,Finance and insurance,800.3,6,6
6,A,2001,2001,52,Gross operating surplus,326.6,6,6
6,A,2001,2001,521CI,Compensation of employees,150.9,6,6
6,A,2001,2001,521CI,"Federal Reserve banks, credit intermediation, and related activities",335.4,6,6
6,A,2001,2001,521CI,Taxes on production and imports less subsidies,9.5,6,6
6,A,2001,2001,521CI,Gross operating surplus,175.0,6,6
6,A,2001,2001,523,Gross operating surplus,33.4,6,6
6,A,2001,2001,523,Taxes on production and imports less subsidies,4.0,6,6
6,A,2001,2001,523,Compensation of employees,150.4,6,6
6,A,2001,2001,523,"Securities, commodity contracts, and investments",187.7,6,6
6,A,2001,2001,524,Compensation of employees,142.8,6,6
6,A,2001,2001,524,Taxes on production and imports less subsidies,14.1,6,6
6,A,2001,2001,524,Gross operating surplus,105.0,6,6
6,A,2001,2001,524,Insurance carriers and related activities,262.0,6,6
6,A,2001,2001,525,Gross operating surplus,13.2,6,6
6,A,2001,2001,525,"Funds, trusts, and other financial vehicles",15.2,6,6
6,A,2001,2001,525,Compensation of employees,1.2,6,6
6,A,2001,2001,525,Taxes on production and imports less subsidies,0.8,6,6
6,A,2001,2001,53,Gross operating surplus,1107.8,6,6
6,A,2001,2001,53,Taxes on production and imports less subsidies,140.0,6,6
6,A,2001,2001,53,Compensation of employees,81.3,6,6
6,A,2001,2001,53,Real estate and rental and leasing,1329.0,6,6
6,A,2001,2001,531,Gross operating surplus,994.2,6,6
6,A,2001,2001,531,Real estate,1180.7,6,6
6,A,2001,2001,531,Compensation of employees,56.7,6,6
6,A,2001,2001,531,Taxes on production and imports less subsidies,129.8,6,6
6,A,2001,2001,532RL,Taxes on production and imports less subsidies,10.1,6,6
6,A,2001,2001,532RL,Rental and leasing services and lessors of intangible assets,148.3,6,6
6,A,2001,2001,532RL,Gross operating surplus,113.6,6,6
6,A,2001,2001,532RL,Compensation of employees,24.6,6,6
6,A,2001,2001,54,Gross operating surplus,193.8,6,6
6,A,2001,2001,54,"Professional, scientific, and technical services",686.7,6,6
6,A,2001,2001,54,Compensation of employees,477.3,6,6
6,A,2001,2001,54,Taxes on production and imports less subsidies,15.6,6,6
6,A,2001,2001,5411,Legal services,140.6,6,6
6,A,2001,2001,5411,Gross operating surplus,53.9,6,6
6,A,2001,2001,5411,Taxes on production and imports less subsidies,5.7,6,6
6,A,2001,2001,5411,Compensation of employees,81.0,6,6
6,A,2001,2001,5412OP,Compensation of employees,284.2,6,6
6,A,2001,2001,5412OP,Gross operating surplus,136.8,6,6
6,A,2001,2001,5412OP,"Miscellaneous professional, scientific, and technical services",427.9,6,6
6,A,2001,2001,5412OP,Taxes on production and imports less subsidies,6.9,6,6
6,A,2001,2001,5415,Gross operating surplus,3.1,6,6
6,A,2001,2001,5415,Computer systems design and related services,118.2,6,6
6,A,2001,2001,5415,Compensation of employees,112.0,6,6
6,A,2001,2001,5415,Taxes on production and imports less subsidies,3.0,6,6
6,A,2001,2001,55,Gross operating surplus,18.1,6,6
6,A,2001,2001,55,Taxes on production and imports less subsidies,5.2,6,6
6,A,2001,2001,55,Management of companies and enterprises,173.6,6,6
6,A,2001,2001,55,Compensation of employees,150.3,6,6
6,A,2001,2001,56,Compensation of employees,224.0,6,6
6,A,2001,2001,56,Taxes on production and imports less subsidies,6.5,6,6
6,A,2001,2001,56,Gross operating surplus,64.5,6,6
6,A,2001,2001,56,Administrative and waste management services,295.0,6,6
6,A,2001,2001,561,Taxes on production and imports less subsidies,4.8,6,6
6,A,2001,2001,561,Compensation of employees,208.7,6,6
6,A,2001,2001,561,Gross operating surplus,53.1,6,6
6,A,2001,2001,561,Administrative and support services,266.6,6,6
6,A,2001,2001,562,Gross operating surplus,11.4,6,6
6,A,2001,2001,562,Waste management and remediation services,28.5,6,6
6,A,2001,2001,562,Compensation of employees,15.3,6,6
6,A,2001,2001,562,Taxes on production and imports less subsidies,1.7,6,6
6,A,2001,2001,6,"Educational services, health care, and social assistance",749.8,6,6
6,A,2001,2001,6,Compensation of employees,604.5,6,6
6,A,2001,2001,6,Gross operating surplus,127.4,6,6
6,A,2001,2001,6,Taxes on production and imports less subsidies,17.9,6,6
6,A,2001,2001,61,Taxes on production and imports less subsidies,3.9,6,6
6,A,2001,2001,61,Gross operating surplus,18.2,6,6
6,A,2001,2001,61,Educational services,101.7,6,6
6,A,2001,2001,61,Compensation of employees,79.6,6,6
6,A,2001,2001,62,Health care and social assistance,648.1,6,6
6,A,2001,2001,62,Taxes on production and imports less subsidies,14.0,6,6
6,A,2001,2001,62,Compensation of employees,524.9,6,6
6,A,2001,2001,62,Gross operating surplus,109.3,6,6
6,A,2001,2001,621,Compensation of employees,234.9,6,6
6,A,2001,2001,621,Gross operating surplus,71.3,6,6
6,A,2001,2001,621,Ambulatory health care services,310.9,6,6
6,A,2001,2001,621,Taxes on production and imports less subsidies,4.8,6,6
6,A,2001,2001,622,Gross operating surplus,23.7,6,6
6,A,2001,2001,622,Taxes on production and imports less subsidies,6.1,6,6
6,A,2001,2001,622,Compensation of employees,177.1,6,6
6,A,2001,2001,622,Hospitals,206.9,6,6
6,A,2001,2001,623,Compensation of employees,68.7,6,6
6,A,2001,2001,623,Gross operating surplus,3.5,6,6
6,A,2001,2001,623,Nursing and residential care facilities,74.5,6,6
6,A,2001,2001,623,Taxes on production and imports less subsidies,2.2,6,6
6,A,2001,2001,624,Compensation of employees,44.1,6,6
6,A,2001,2001,624,Social assistance,55.8,6,6
6,A,2001,2001,624,Taxes on production and imports less subsidies,0.9,6,6
6,A,2001,2001,624,Gross operating surplus,10.8,6,6
6,A,2001,2001,7,Compensation of employees,241.1,6,6
6,A,2001,2001,7,Taxes on production and imports less subsidies,48.4,6,6
6,A,2001,2001,7,"Arts, entertainment, recreation, accommodation, and food services",390.7,6,6
6,A,2001,2001,7,Gross operating surplus,101.2,6,6
6,A,2001,2001,71,Gross operating surplus,29.3,6,6
6,A,2001,2001,71,"Arts, entertainment, and recreation",96.7,6,6
6,A,2001,2001,71,Compensation of employees,58.0,6,6
6,A,2001,2001,71,Taxes on production and imports less subsidies,9.4,6,6
6,A,2001,2001,711AS,Compensation of employees,27.8,6,6
6,A,2001,2001,711AS,"Performing arts, spectator sports, museums, and related activities",51.8,6,6
6,A,2001,2001,711AS,Taxes on production and imports less subsidies,4.3,6,6
6,A,2001,2001,711AS,Gross operating surplus,19.7,6,6
6,A,2001,2001,713,Compensation of employees,30.1,6,6
6,A,2001,2001,713,Taxes on production and imports less subsidies,5.1,6,6
6,A,2001,2001,713,Gross operating surplus,9.7,6,6
6,A,2001,2001,713,"Amusements, gambling, and recreation industries",44.9,6,6
6,A,2001,2001,72,Compensation of employees,183.1,6,6
6,A,2001,2001,72,Accommodation and food services,294.0,6,6
6,A,2001,2001,72,Taxes on production and imports less subsidies,39.0,6,6
6,A,2001,2001,72,Gross operating surplus,71.9,6,6
6,A,2001,2001,721,Compensation of employees,50.6,6,6
6,A,2001,2001,721,Accommodation,90.1,6,6
6,A,2001,2001,721,Taxes on production and imports less subsidies,12.9,6,6
6,A,2001,2001,721,Gross operating surplus,26.5,6,6
6,A,2001,2001,722,Taxes on production and imports less subsidies,26.1,6,6
6,A,2001,2001,722,Gross operating surplus,45.3,6,6
6,A,2001,2001,722,Food services and drinking places,203.9,6,6
6,A,2001,2001,722,Compensation of employees,132.5,6,6
6,A,2001,2001,81,Gross operating surplus,75.8,6,6
6,A,2001,2001,81,Compensation of employees,177.3,6,6
6,A,2001,2001,81,Taxes on production and imports less subsidies,12.4,6,6
6,A,2001,2001,81,"Other services, except government",265.5,6,6
6,A,2001,2001,FIRE,"Finance, insurance, real estate, rental, and leasing",2129.4,6,6
6,A,2001,2001,FIRE,Gross operating surplus,1434.3,6,6
6,A,2001,2001,FIRE,Taxes on production and imports less subsidies,168.5,6,6
6,A,2001,2001,FIRE,Compensation of employees,526.6,6,6
6,A,2001,2001,G,Compensation of employees,1112.1,6,6
6,A,2001,2001,G,Taxes on production and imports less subsidies,-12.6,6,6
6,A,2001,2001,G,Government,1392.9,6,6
6,A,2001,2001,G,Gross operating surplus,293.5,6,6
6,A,2001,2001,GDP,Gross operating surplus,3866.6,6,6
6,A,2001,2001,GDP,Gross domestic product,10581.9,6,6
6,A,2001,2001,GDP,Compensation of employees,6046.3,6,6
6,A,2001,2001,GDP,Taxes on production and imports less subsidies,669.0,6,6
6,A,2001,2001,GF,Gross operating surplus,167.2,6,6
6,A,2001,2001,GF,Federal,430.4,6,6
6,A,2001,2001,GF,Compensation of employees,264.9,6,6
6,A,2001,2001,GF,Taxes on production and imports less subsidies,-1.7,6,6
6,A,2001,2001,GFE,Compensation of employees,53.7,6,6
6,A,2001,2001,GFE,Taxes on production and imports less subsidies,-1.7,6,6
6,A,2001,2001,GFE,Gross operating surplus,8.2,6,6
6,A,2001,2001,GFE,Government enterprises,60.2,6,6
6,A,2001,2001,GFG,General government,370.3,6,6
6,A,2001,2001,GFG,Compensation of employees,211.2,6,6
6,A,2001,2001,GFG,Gross operating surplus,159.1,6,6
6,A,2001,2001,GFGD,Gross operating surplus,99.8,6,6
6,A,2001,2001,GFGD,National defense,223.0,6,6
6,A,2001,2001,GFGD,Compensation of employees,123.2,6,6
6,A,2001,2001,GFGN,Compensation of employees,88.0,6,6
6,A,2001,2001,GFGN,Nondefense,147.3,6,6
6,A,2001,2001,GFGN,Gross operating surplus,59.3,6,6
6,A,2001,2001,GSL,Compensation of employees,847.2,6,6
6,A,2001,2001,GSL,Gross operating surplus,126.2,6,6
6,A,2001,2001,GSL,State and local,962.5,6,6
6,A,2001,2001,GSL,Taxes on production and imports less subsidies,-10.9,6,6
6,A,2001,2001,GSLE,Compensation of employees,61.8,6,6
6,A,2001,2001,GSLE,Gross operating surplus,29.3,6,6
6,A,2001,2001,GSLE,Government enterprises,80.2,6,6
6,A,2001,2001,GSLE,Taxes on production and imports less subsidies,-10.9,6,6
6,A,2001,2001,GSLG,General government,882.3,6,6
6,A,2001,2001,GSLG,Gross operating surplus,96.9,6,6
6,A,2001,2001,GSLG,Compensation of employees,785.4,6,6
6,A,2001,2001,HS,Compensation of employees,11.1,6,6
6,A,2001,2001,HS,Gross operating surplus,860.3,6,6
6,A,2001,2001,HS,Taxes on production and imports less subsidies,118.6,6,6
6,A,2001,2001,HS,Housing,990.1,6,6
6,A,2001,2001,ICT,Taxes on production and imports less subsidies,43.4,6,6
6,A,2001,2001,ICT,Gross operating surplus,177.6,6,6
6,A,2001,2001,ICT,Compensation of employees,391.3,6,6
6,A,2001,2001,ICT,Information-communications-technology-producing industries <sup>3</sup>,612.3,6,6
6,A,2001,2001,ORE,Compensation of employees,45.6,6,6
6,A,2001,2001,ORE,Other real estate,190.6,6,6
6,A,2001,2001,ORE,Taxes on production and imports less subsidies,11.2,6,6
6,A,2001,2001,ORE,Gross operating surplus,133.9,6,6
6,A,2001,2001,PGOOD,Compensation of employees,1277.3,6,6
6,A,2001,2001,PGOOD,Gross operating surplus,852.3,6,6
6,A,2001,2001,PGOOD,Private goods-producing industries <sup>1</sup>,2184.6,6,6
6,A,2001,2001,PGOOD,Taxes on production and imports less subsidies,55.1,6,6
6,A,2001,2001,PROF,Taxes on production and imports less subsidies,27.3,6,6
6,A,2001,2001,PROF,Professional and business services,1155.3,6,6
6,A,2001,2001,PROF,Compensation of employees,851.6,6,6
6,A,2001,2001,PROF,Gross operating surplus,276.4,6,6
6,A,2001,2001,PSERV,Private services-producing industries <sup>2</sup>,7004.4,6,6
6,A,2001,2001,PSERV,Gross operating surplus,2720.9,6,6
6,A,2001,2001,PSERV,Taxes on production and imports less subsidies,626.5,6,6
6,A,2001,2001,PSERV,Compensation of employees,3657.0,6,6
6,A,2001,2001,PVT,Private industries,9189.0,6,6
6,A,2001,2001,PVT,Taxes on production and imports less subsidies,681.6,6,6
6,A,2001,2001,PVT,Gross operating surplus,3573.1,6,6
6,A,2001,2001,PVT,Compensation of employees,4934.3,6,6
6,A,2002,2002,11,"Agriculture, forestry, fishing, and hunting",96.7,6,6
6,A,2002,2002,11,Gross operating surplus,70.1,6,6
6,A,2002,2002,11,Compensation of employees,31.6,6,6
6,A,2002,2002,11,Taxes on production and imports less subsidies,-5.1,6,6
6,A,2002,2002,111CA,Taxes on production and imports less subsidies,-5.9,6,6
6,A,2002,2002,111CA,Farms,75.1,6,6
6,A,2002,2002,111CA,Compensation of employees,20.8,6,6
6,A,2002,2002,111CA,Gross operating surplus,60.2,6,6
6,A,2002,2002,113FF,Compensation of employees,10.8,6,6
6,A,2002,2002,113FF,Taxes on production and imports less subsidies,0.8,6,6
6,A,2002,2002,113FF,"Forestry, fishing, and related activities",21.6,6,6
6,A,2002,2002,113FF,Gross operating surplus,9.9,6,6
6,A,2002,2002,21,Gross operating surplus,62.0,6,6
6,A,2002,2002,21,Compensation of employees,35.8,6,6
6,A,2002,2002,21,Taxes on production and imports less subsidies,14.7,6,6
6,A,2002,2002,21,Mining,112.4,6,6
6,A,2002,2002,211,Gross operating surplus,45.5,6,6
6,A,2002,2002,211,Taxes on production and imports less subsidies,11.1,6,6
6,A,2002,2002,211,Oil and gas extraction,69.9,6,6
6,A,2002,2002,211,Compensation of employees,13.3,6,6
6,A,2002,2002,212,Compensation of employees,12.4,6,6
6,A,2002,2002,212,"Mining, except oil and gas",27.3,6,6
6,A,2002,2002,212,Gross operating surplus,12.1,6,6
6,A,2002,2002,212,Taxes on production and imports less subsidies,2.8,6,6
6,A,2002,2002,213,Compensation of employees,10.2,6,6
6,A,2002,2002,213,Support activities for mining,15.2,6,6
6,A,2002,2002,213,Gross operating surplus,4.3,6,6
6,A,2002,2002,213,Taxes on production and imports less subsidies,0.7,6,6
6,A,2002,2002,22,Compensation of employees,54.7,6,6
6,A,2002,2002,22,Taxes on production and imports less subsidies,36.4,6,6
6,A,2002,2002,22,Gross operating surplus,86.5,6,6
6,A,2002,2002,22,Utilities,177.6,6,6
6,A,2002,2002,23,Compensation of employees,327.1,6,6
6,A,2002,2002,23,Gross operating surplus,160.4,6,6
6,A,2002,2002,23,Construction,493.5,6,6
6,A,2002,2002,23,Taxes on production and imports less subsidies,6.1,6,6
6,A,2002,2002,311FT,Gross operating surplus,82.6,6,6
6,A,2002,2002,311FT,Food and beverage and tobacco products,175.6,6,6
6,A,2002,2002,311FT,Taxes on production and imports less subsidies,18.2,6,6
6,A,2002,2002,311FT,Compensation of employees,74.8,6,6
6,A,2002,2002,313TT,Taxes on production and imports less subsidies,0.6,6,6
6,A,2002,2002,313TT,Textile mills and textile product mills,24.0,6,6
6,A,2002,2002,313TT,Gross operating surplus,5.8,6,6
6,A,2002,2002,313TT,Compensation of employees,17.6,6,6
6,A,2002,2002,315AL,Apparel and leather and allied products,18.1,6,6
6,A,2002,2002,315AL,Compensation of employees,12.7,6,6
6,A,2002,2002,315AL,Gross operating surplus,5.1,6,6
6,A,2002,2002,315AL,Taxes on production and imports less subsidies,0.3,6,6
6,A,2002,2002,31G,Compensation of employees,846.5,6,6
6,A,2002,2002,31G,Gross operating surplus,570.3,6,6
6,A,2002,2002,31G,Taxes on production and imports less subsidies,51.5,6,6
6,A,2002,2002,31G,Manufacturing,1468.3,6,6
6,A,2002,2002,31ND,Taxes on production and imports less subsidies,31.2,6,6
6,A,2002,2002,31ND,Nondurable goods,635.6,6,6
6,A,2002,2002,31ND,Gross operating surplus,310.4,6,6
6,A,2002,2002,31ND,Compensation of employees,293.9,6,6
6,A,2002,2002,321,Gross operating surplus,5.2,6,6
6,A,2002,2002,321,Wood products,27.3,6,6
6,A,2002,2002,321,Compensation of employees,21.5,6,6
6,A,2002,2002,321,Taxes on production and imports less subsidies,0.6,6,6
6,A,2002,2002,322,Taxes on production and imports less subsidies,1.6,6,6
6,A,2002,2002,322,Gross operating surplus,20.5,6,6
6,A,2002,2002,322,Paper products,54.1,6,6
6,A,2002,2002,322,Compensation of employees,32.0,6,6
6,A,2002,2002,323,Taxes on production and imports less subsidies,0.7,6,6
6,A,2002,2002,323,Compensation of employees,32.7,6,6
6,A,2002,2002,323,Gross operating surplus,8.7,6,6
6,A,2002,2002,323,Printing and related support activities,42.1,6,6
6,A,2002,2002,324,Petroleum and coal products,50.7,6,6
6,A,2002,2002,324,Compensation of employees,11.2,6,6
6,A,2002,2002,324,Taxes on production and imports less subsidies,1.7,6,6
6,A,2002,2002,324,Gross operating surplus,37.8,6,6
6,A,2002,2002,325,Taxes on production and imports less subsidies,6.8,6,6
6,A,2002,2002,325,Gross operating surplus,126.9,6,6
6,A,2002,2002,325,Compensation of employees,74.1,6,6
6,A,2002,2002,325,Chemical products,207.8,6,6
6,A,2002,2002,326,Gross operating surplus,23.0,6,6
6,A,2002,2002,326,Taxes on production and imports less subsidies,1.3,6,6
6,A,2002,2002,326,Plastics and rubber products,63.0,6,6
6,A,2002,2002,326,Compensation of employees,38.7,6,6
6,A,2002,2002,327,Gross operating surplus,14.9,6,6
6,A,2002,2002,327,Taxes on production and imports less subsidies,1.0,6,6
6,A,2002,2002,327,Nonmetallic mineral products,41.8,6,6
6,A,2002,2002,327,Compensation of employees,25.9,6,6
6,A,2002,2002,331,Primary metals,41.7,6,6
6,A,2002,2002,331,Compensation of employees,29.3,6,6
6,A,2002,2002,331,Gross operating surplus,10.5,6,6
6,A,2002,2002,331,Taxes on production and imports less subsidies,1.9,6,6
6,A,2002,2002,332,Taxes on production and imports less subsidies,2.1,6,6
6,A,2002,2002,332,Fabricated metal products,106.1,6,6
6,A,2002,2002,332,Gross operating surplus,29.9,6,6
6,A,2002,2002,332,Compensation of employees,74.1,6,6
6,A,2002,2002,333,Machinery,98.9,6,6
6,A,2002,2002,333,Gross operating surplus,26.8,6,6
6,A,2002,2002,333,Compensation of employees,69.6,6,6
6,A,2002,2002,333,Taxes on production and imports less subsidies,2.5,6,6
6,A,2002,2002,334,Gross operating surplus,47.2,6,6
6,A,2002,2002,334,Compensation of employees,120.0,6,6
6,A,2002,2002,334,Taxes on production and imports less subsidies,5.6,6,6
6,A,2002,2002,334,Computer and electronic products,172.9,6,6
6,A,2002,2002,335,Compensation of employees,28.0,6,6
6,A,2002,2002,335,Gross operating surplus,14.6,6,6
6,A,2002,2002,335,"Electrical equipment, appliances, and components",43.7,6,6
6,A,2002,2002,335,Taxes on production and imports less subsidies,1.1,6,6
6,A,2002,2002,3361MV,Compensation of employees,73.8,6,6
6,A,2002,2002,3361MV,Taxes on production and imports less subsidies,2.4,6,6
6,A,2002,2002,3361MV,"Motor vehicles, bodies and trailers, and parts",135.2,6,6
6,A,2002,2002,3361MV,Gross operating surplus,59.0,6,6
6,A,2002,2002,3364OT,Taxes on production and imports less subsidies,1.6,6,6
